,country,year,kind,title,sid
191,Japan,2016,Drama,Good Morning Call,13637
206,Japan,2005,Drama,1 Litre no Namida,1
218,Japan,2007,Drama,Hanazakari no Kimitachi e,2953
226,Japan,2006,Drama,Nodame Cantabile,31
228,Japan,2011,Drama,Ouran High School Host Club,2219
306,Japan,2014,Movie,Black Butler,5545
307,Japan,2014,Movie,Blue Spring Ride,8682
361,Japan,2010,Movie,From Me to You,123
372,Japan,2017,Drama,Good Morning Call: Our Campus Days,15807
394,Japan,2020,Drama,Imawa no Kuni no Alice,27445
496,Japan,2012,Movie,Ouran High School Host Club The Movie,3197
511,Japan,2008,Drama,RH Plus,155
632,Japan,2007,Drama,Abarenbo Mama,294
633,Japan,2008,Drama,Celeb to Binbo Taro,184
635,Japan,2003,Drama,Kimi wa Petto,22
636,Japan,2010,Drama,Q10,142
637,Japan,2009,Drama,Shokojo Seira,609
638,Japan,2009,Drama,Smile,15
640,Japan,2009,Drama,0 Goshitsu no Kyaku,185
641,Japan,2007,Drama Special,1 Litre no Namida Special,3066
642,Japan,2005,Movie,1 Litre of Tears,305
643,Japan,2008,Drama,1 Pound no Fukuin,88
645,Japan,2010,Movie,13 Assassins,2074
648,Japan,2008,Movie,20th Century Boys 1: Beginning of the End,532
649,Japan,2009,Movie,20th Century Boys 2: The Last Hope,533
656,Japan,2004,Drama,Ace wo Nerae!,422
657,Japan,2008,Movie,Ai no Kotodama,2458
658,Japan,2009,Movie,Air Doll,1645
659,Japan,2008,Drama,Akai Ito,158
660,Japan,2008,Movie,Akai Ito,218
661,Japan,2004,Movie,Akai Tsuki,2095
662,Japan,2006,Drama,Akihabara@DEEP,558
663,Japan,2006,Movie,Akihabara@DEEP,559
664,Japan,2005,Drama,Anego,109
665,Japan,2011,Movie,Another Gantz,2737
666,Japan,2001,Drama,Antique,2092
669,Japan,2006,Movie,Arch Angels,696
670,Japan,2011,Movie,Ashita no Joe,2345
671,Japan,2009,Drama,Atashinchi no Danshi,21
672,Japan,2005,Drama,Attack No.1,404
675,Japan,2006,Drama,Attention Please,81
676,Japan,2007,Drama Special,Attention Please 2007,1760
677,Japan,2008,Drama Special,Attention Please 2008,1761
678,Japan,1999,Movie,Audition,764
679,Japan,2003,Movie,Azumi,176
680,Japan,2005,Movie,Azumi 2: Death or Love,177
682,Japan,2007,Drama,Bambino!,125
683,Japan,2010,Movie,Bandage,111
684,Japan,2011,Drama,Bartender,460
685,Japan,2000,Movie,Battle Royale,143
686,Japan,2003,Movie,Battle Royale II: Requiem,352
687,Japan,2000,Drama,Beautiful Life,777
688,Japan,2010,Movie,BECK,464
689,Japan,2008,Drama,Binbo Danshi,145
690,Japan,2008,Drama,Bloody Monday,13
691,Japan,2010,Drama,Bloody Monday Season 2,16
692,Japan,2006,Movie,Boys Love,1410
695,Japan,2009,Drama,Buzzer Beat,48
696,Japan,2006,Drama,Byakuyako,616
697,Japan,2009,Drama,Call Center no Koibito,702
699,Japan,2004,Movie,Casshern,291
700,Japan,2006,Movie,Cat Girl Kiki,6033
701,Japan,2008,Drama,Cat Street,275
702,Japan,2006,Movie,"Check It Out, Yo!",1704
704,Japan,2008,Drama,Code Blue,92
705,Japan,2010,Drama,Code Blue Season 2,93
706,Japan,2009,Drama Special,Code Blue Special,1879
709,Japan,2007,Movie,Crows Zero,0
710,Japan,2009,Movie,Crows Zero 2,2
711,Japan,2008,Movie,Cyborg She,389
712,Japan,2009,Movie,Dance Subaru,2007
713,Japan,2009,Drama,Dandy Daddy?,885
716,Japan,2009,Movie,Dear Doctor,2826
717,Japan,2007,Movie,Dear Friends,320
718,Japan,2006,Movie,Death Note,59
719,Japan,2006,Movie,Death Note: The Last Name,60
720,Japan,2007,Drama,Delicious Gakuin,192
721,Japan,2005,Drama,Densha Otoko,267
724,Japan,2007,Movie,Dororo,356
725,Japan,2005,Drama,Dragon Zakura,150
728,Japan,2009,Movie,Drop,297
731,Japan,2007,Drama,First Kiss,303
735,Japan,2009,Drama,Futatsu no Spica,370
736,Japan,2006,Drama,Gachi Baka!,403
737,Japan,2011,Movie,Gantz,1340
738,Japan,2011,Movie,Gantz: Perfect Answer,1341
739,Japan,2007,Movie,Gegege no Kitaro,509
740,Japan,2008,Movie,Gegege no Kitaro: Kitaro and the Millennium Curse,510
741,Japan,2009,Drama,Ghost Friends,86
742,Japan,2006,Movie,Gigolo Wannabe,812
744,Japan,2009,Drama,Godhand Teru,181
745,Japan,2002,Drama,Gokusen,24
746,Japan,2005,Drama,Gokusen 2,25
747,Japan,2008,Drama,Gokusen 3,26
748,Japan,2005,Drama Special,Gokusen Special 2,1758
749,Japan,2009,Drama Special,Gokusen Special 3,1759
750,Japan,2009,Movie,Gokusen: The Movie,52
753,Japan,1998,Drama,GTO,115
754,Japan,1998,Drama Special,GTO: Special,2629
755,Japan,1999,Movie,GTO: The Movie,2405
756,Japan,2005,Drama,H2: Kimi to Ita Hibi,1706
757,Japan,2008,Drama,Hachi-One Diver,2738
758,Japan,2008,Drama,Hachimitsu to Clover,153
759,Japan,2007,Drama,"Haikei, Chichiue-sama",462
760,Japan,2007,Drama,Haken no Hinkaku,969
761,Japan,2005,Drama,Hana Yori Dango,2951
762,Japan,2007,Drama,Hana Yori Dango 2,2952
763,Japan,2007,TV Show,Hana yori Dango 2 (Returns) Bangai hen: Makinoke Hajimete no Kazoku Ryoko in N.Y.,2190
764,Japan,2008,Movie,Hana Yori Dango Final,29
765,Japan,2008,Drama Special,Hana Yori Dango Special Final,2766
766,Japan,2008,Drama Special,Hanazakari no Kimitachi e Special,1762
767,Japan,2007,Drama,Happy Boys,372
771,Japan,2009,Movie,Heaven's Door,595
772,Japan,2001,Drama,Hero,156
774,Japan,2009,Drama Special,Hidarime Tantei EYE,1773
775,Japan,2011,Movie,High School Debut,1292
776,Japan,2005,Movie,Hinokio,1577
777,Japan,2008,Drama,Hokaben,722
779,Japan,2006,Movie,Honey and Clover,1669
781,Japan,2009,Movie,Honokaa Boy ,3459
782,Japan,2007,Drama,Hotaru no Hikari,73
783,Japan,2007,Drama,Hotelier,960
784,Japan,2009,Movie,How to Date an Otaku Girl,246
786,Japan,2008,Movie,Ichi,1608
787,Japan,2000,Drama,Ikebukuro West Gate Park,1496
788,Japan,2011,Drama,Ikemen Desu Ne,2261
789,Japan,2008,Movie,Ikigami: The Ultimate Limit,424
790,Japan,2008,Drama,Innocent Love,159
791,Japan,1996,Drama,Itazura na Kiss,301
793,Japan,2006,Drama,Jigoku Shoujo,401
794,Japan,2007,Drama,Jotei,1335
796,Japan,2009,Movie,Kaiji,232
797,Japan,2009,Drama,Kamen Rider Decade,2527
798,Japan,2007,Drama,Kamen Rider Den-O,3067
799,Japan,2008,Drama,Kamen Rider Kiva,2528
800,Japan,2009,Drama,Kamen Rider W,2525
801,Japan,2009,Drama,Kami no Shizuku,133
802,Japan,2004,Movie,Kamikaze Girls,308
803,Japan,2009,Drama,Karei naru Spy,681
804,Japan,2008,Drama,Kaze no Garden,1397
805,Japan,1995,Drama,Kindaichi Shonen no Jikenbo,2318
806,Japan,2001,Drama,Kindaichi Shonen no Jikenbo 3,2320
807,Japan,2002,Drama,Kisarazu Cat's Eye,645
808,Japan,2003,Movie,Kisarazu Cats Eye: Nihon Series,2454
810,Japan,2009,Drama,Koishite Akuma,68
811,Japan,2008,Drama,Koizora,42
812,Japan,2008,Drama,Koshonin,537
813,Japan,2007,Drama Special,Kudo Shinichi no Fukkatsu! Kuro no Soshiki to no Taiketsu,1965
814,Japan,2006,Drama,Kurosagi,43
815,Japan,2008,Movie,Kurosagi: The Movie,130
816,Japan,2008,Movie,L: Change the World,61
817,Japan,2004,Drama,Last Christmas,1899
818,Japan,2008,Drama,Last Friends,1289
819,Japan,2004,Movie,Last Quarter of the Moon,219
820,Japan,2007,Drama,Liar Game,39
822,Japan,2002,Drama,Long Love Letter,473
823,Japan,2009,Movie,Love Exposure,1583
824,Japan,2009,Drama,LOVE GAME,1494
825,Japan,2006,Movie,Love on Sunday,3031
826,Japan,2009,Drama,Love Shuffle,114
827,Japan,2006,Movie,Lovely Complex,83
828,Japan,2009,Movie,M.W.,381
830,Japan,2009,Drama,Majo Saiban,287
831,Japan,2008,Drama,Maou,91
832,Japan,2010,Movie,Maria Watches Over Us,2065
837,Japan,2009,Drama,Mei-chan no Shitsuji,28
838,Japan,2011,Drama,Meitantei Conan,2666
839,Japan,2006,Drama Special,Meitantei Conan: Kudo Shinichi he no Chosenjo,1963
840,Japan,2009,Drama,Meitantei no Okite,348
841,Japan,2008,Drama,Mendol,169
842,Japan,2012,Drama,Mikeneko Holmes no Suiri,3783
843,Japan,2011,Drama,Misaki Number One!!,413
845,Japan,2010,Drama,Moyashimon,265
846,Japan,2009,Drama,Mr. Brain,76
847,Japan,2006,Drama,"My Boss, My Hero",97
852,Japan,2009,Drama,My Girl,72
859,Japan,2007,Movie,"My Sister, My Love",1348
863,Japan,2005,Movie,Nana,103
864,Japan,2006,Movie,Nana 2,104
865,Japan,2011,Drama,Nazotoki wa Dinner no Ato de,2966
866,Japan,2001,Drama,Neverland,2308
868,Japan,2005,Drama,Nobuta wo Produce,2956
869,Japan,2008,Drama Special,Nodame Cantabile in Europe,1766
870,Japan,2008,Drama,Oh! My Girl!!,398
872,Japan,2009,Drama,Ohitorisama,63
873,Japan,2004,Movie,One Missed Call,408
874,Japan,2006,Movie,One Missed Call Final,546
875,Japan,2009,Movie,Oppai Volleyball,1612
876,Japan,2009,Drama,Oretachi wa Tenshi da!,328
877,Japan,2008,Movie,Orochi,1638
878,Japan,2009,Drama,Orthros no Inu,84
879,Japan,2009,Drama,Otomen,119
880,Japan,1999,Drama,P.P.O.I.,611
881,Japan,2011,Movie,Paradise Kiss,1031
882,Japan,2004,Movie,Pika**nchi Life Is Hard Therefore Happy,649
883,Japan,2002,Movie,Pika*nchi Life Is Hard However Happy,648
885,Japan,2003,Drama,Pretty Guardian Sailor Moon,323
886,Japan,2004,Drama,Pride,488
887,Japan,2006,Drama,Princess Princess D,593
888,Japan,2007,Drama,Proposal Daisakusen,79
889,Japan,2006,Drama,Psychic Detective Yakumo,2411
890,Japan,2009,Drama,Q.E.D.,458
891,Japan,2006,Drama,Regatta,560
892,Japan,2009,Drama,RESCUE,268
893,Japan,2012,Drama,"Rich Man, Poor Woman",4177
896,Japan,2008,Drama,Rookies,166
897,Japan,2008,Drama Special,Rookies SP,1774
898,Japan,2009,Movie,Rookies: Graduation,324
899,Japan,2008,Drama,Room of King,664
900,Japan,2008,Drama,Ryusei no Kizuna,101
901,Japan,2010,Drama Special,Saigo no Yakusoku,1749
902,Japan,2012,Drama,Saikou no Jinsei no Owarikata - Ending Planner,3094
